Log:	x	vx	y	vy	theta	omega	ul	ur
0.00:	-2.000	0.006	-0.0000	-0.00	0.00	0.02	0.084	-0.007
0.15:	-1.998	0.011	-0.0000	-0.00	0.01	0.04	0.082	-0.009
0.30:	-1.996	0.016	-0.0001	-0.00	0.01	0.05	0.080	-0.010
0.45:	-1.994	0.020	-0.0002	-0.00	0.02	0.07	0.077	-0.009
0.60:	-1.990	0.025	-0.0003	-0.00	0.03	0.09	0.075	-0.007
0.75:	-1.986	0.030	-0.0005	-0.00	0.05	0.10	0.073	-0.003
0.90:	-1.981	0.035	-0.0006	-0.00	0.06	0.12	0.072	0.002
1.05:	-1.976	0.041	-0.0009	-0.00	0.08	0.13	0.071	0.008
1.20:	-1.969	0.048	-0.0011	-0.00	0.10	0.14	0.071	0.014
1.35:	-1.961	0.056	-0.0012	-0.00	0.13	0.15	0.071	0.020
1.50:	-1.952	0.065	-0.0013	-0.00	0.15	0.16	0.071	0.026
1.65:	-1.942	0.075	-0.0013	0.00	0.17	0.17	0.072	0.032
1.80:	-1.930	0.085	-0.0012	0.00	0.20	0.18	0.074	0.038
1.95:	-1.916	0.097	-0.0008	0.00	0.23	0.18	0.075	0.043
2.10:	-1.901	0.110	-0.0002	0.01	0.25	0.19	0.076	0.048
2.25:	-1.883	0.124	0.0008	0.01	0.28	0.19	0.077	0.053
2.40:	-1.863	0.138	0.0021	0.01	0.31	0.20	0.078	0.057
2.55:	-1.842	0.153	0.0039	0.01	0.34	0.20	0.079	0.061
2.70:	-1.818	0.168	0.0062	0.02	0.37	0.20	0.079	0.065
2.85:	-1.791	0.184	0.0091	0.02	0.40	0.21	0.079	0.069
3.00:	-1.762	0.200	0.0127	0.03	0.43	0.21	0.078	0.072
3.15:	-1.731	0.216	0.0169	0.03	0.46	0.21	0.075	0.076
3.30:	-1.698	0.232	0.0220	0.04	0.50	0.20	0.071	0.080
3.45:	-1.662	0.247	0.0277	0.04	0.53	0.20	0.065	0.084
3.60:	-1.624	0.262	0.0343	0.05	0.56	0.19	0.056	0.088
3.75:	-1.583	0.275	0.0415	0.05	0.58	0.18	0.042	0.091
3.90:	-1.541	0.287	0.0493	0.05	0.61	0.17	0.026	0.093
4.05:	-1.497	0.297	0.0575	0.06	0.63	0.15	0.010	0.095
4.20:	-1.452	0.305	0.0660	0.06	0.66	0.13	-0.004	0.097
4.35:	-1.406	0.312	0.0746	0.06	0.67	0.11	-0.015	0.098
4.50:	-1.359	0.318	0.0831	0.06	0.69	0.09	-0.022	0.098
4.65:	-1.310	0.324	0.0916	0.06	0.70	0.06	-0.026	0.098
4.80:	-1.261	0.330	0.1000	0.06	0.71	0.04	-0.028	0.099
4.95:	-1.211	0.336	0.1082	0.05	0.71	0.01	-0.027	0.099
5.10:	-1.161	0.342	0.1163	0.05	0.71	-0.01	-0.026	0.099
5.25:	-1.109	0.349	0.1242	0.05	0.71	-0.04	-0.023	0.099
5.40:	-1.056	0.356	0.1320	0.05	0.70	-0.06	-0.019	0.099
5.55:	-1.002	0.364	0.1397	0.05	0.69	-0.08	-0.014	0.098
5.70:	-0.947	0.373	0.1474	0.05	0.68	-0.10	-0.009	0.098
5.85:	-0.890	0.382	0.1550	0.05	0.66	-0.12	-0.005	0.097
6.00:	-0.832	0.392	0.1625	0.05	0.64	-0.14	-0.001	0.096
6.15:	-0.772	0.403	0.1699	0.05	0.62	-0.16	0.001	0.095
6.30:	-0.711	0.413	0.1771	0.05	0.59	-0.18	0.001	0.092
6.45:	-0.649	0.423	0.1839	0.04	0.56	-0.20	-0.002	0.087
6.60:	-0.584	0.431	0.1900	0.04	0.53	-0.22	-0.011	0.075
6.75:	-0.520	0.432	0.1951	0.03	0.50	-0.23	-0.031	0.044
6.90:	-0.456	0.419	0.1983	0.01	0.46	-0.24	-0.061	-0.023
7.05:	-0.395	0.396	0.1987	-0.01	0.43	-0.24	-0.085	-0.078
7.20:	-0.337	0.369	0.1961	-0.03	0.39	-0.24	-0.094	-0.094
7.35:	-0.284	0.340	0.1905	-0.05	0.35	-0.24	-0.097	-0.098
7.50:	-0.235	0.310	0.1822	-0.06	0.32	-0.24	-0.097	-0.099
7.65:	-0.191	0.280	0.1714	-0.08	0.28	-0.24	-0.097	-0.099
7.80:	-0.152	0.249	0.1583	-0.09	0.25	-0.24	-0.096	-0.099
7.95:	-0.117	0.218	0.1433	-0.11	0.21	-0.24	-0.095	-0.099
8.10:	-0.086	0.187	0.1266	-0.12	0.17	-0.24	-0.093	-0.099
8.25:	-0.061	0.155	0.1085	-0.12	0.14	-0.24	-0.091	-0.099
8.40:	-0.040	0.124	0.0893	-0.13	0.10	-0.23	-0.089	-0.099
8.55:	-0.023	0.093	0.0691	-0.14	0.07	-0.23	-0.087	-0.099
8.70:	-0.012	0.062	0.0484	-0.14	0.03	-0.23	-0.084	-0.099
8.85:	-0.004	0.032	0.0273	-0.14	0.00	-0.22	-0.082	-0.099
ObjFun: return value:  0.849571	dist:0.027636 theta: 0.000338 speed: 0.145023

